data_prevista;data_entrega;valor_frete;UF_origem;UF_destino;transportadora;tipo_veiculo;status_entrega;dias_atraso
2025-03-06;2025-03-06;2600.52;MS;RS;CargaJá;VUC;entregue;0
2025-04-06;2025-04-06;950.1;ES;MG;CargaJá;Truck;entregue;0
2025-04-03;2025-04-05;2345.62;MT;ES;FreteCerto;Truck;entregue;2
2025-04-16;2025-04-17;2335.63;BA;RJ;LogMais;Carreta;entregue;1
2025-03-17;2025-03-20;1264.77;MG;GO;FreteCerto;Truck;entregue;3
2025-04-24;2025-04-27;3576.77;SP;PR;CargaJá;3/4;entregue;3
2025-04-22;2025-04-24;2421.91;MG;RS;TransRápido;Truck;entregue;2
2025-03-07;2025-03-06;1678.11;BA;MG;TransRápido;Carreta;adiantada;-1
2025-04-07;2025-04-10;3741.56;RJ;SP;LogMais;VUC;entregue;3
2025-04-08;2025-04-08;2845.13;BA;PE;CargaJá;3/4;entregue;0
2025-02-25;2025-02-25;2659.21;RS;ES;CargaJá;VUC;entregue;0
2025-03-07;2025-03-07;3206.04;GO;PR;LogMais;Truck;entregue;0
2025-03-21;2025-03-24;2364.32;PE;SC;CargaJá;3/4;entregue;3
2025-04-13;2025-04-16;1232.23;SP;GO;FreteCerto;3/4;entregue;3
2025-04-06;2025-04-06;1382.6;SC;BA;CargaJá;3/4;entregue;0
2025-04-08;2025-04-09;3141.15;SC;BA;TransRápido;Truck;entregue;1
2025-04-24;2025-04-24;2410.8;PE;MS;LogMais;VUC;entregue;0
2025-03-29;2025-03-29;812.78;MT;PR;CargaJá;Truck;entregue;0
2025-03-13;2025-03-14;3428.56;RS;PE;CargaJá;Carreta;entregue;1
2025-03-22;2025-03-23;3906.01;BA;ES;CargaJá;Truck;entregue;1
2025-03-22;2025-03-22;3856.55;MS;BA;CargaJá;VUC;entregue;0
2025-03-31;2025-03-31;3062.68;SP;RJ;TransRápido;VUC;entregue;0
2025-04-06;2025-04-08;3147.76;RJ;SP;CargaJá;Truck;entregue;2
2025-03-05;2025-03-05;3954.49;PR;RS;FreteCerto;VUC;entregue;0
2025-03-28;2025-03-28;3064.0;SP;MS;LogMais;Carreta;entregue;0
2025-03-12;2025-03-12;3913.91;SP;SC;FreteCerto;3/4;entregue;0
2025-03-15;2025-03-18;3548.97;BA;RS;TransRápido;Carreta;entregue;3
2025-03-11;2025-03-10;2666.68;GO;MS;LogMais;Carreta;adiantada;-1
2025-03-23;2025-03-25;3952.94;SC;BA;TransRápido;3/4;entregue;2
2025-03-15;2025-03-14;3134.29;RS;SP;TransRápido;3/4;adiantada;-1
2025-04-13;2025-04-13;1275.08;RJ;PR;TransRápido;Carreta;entregue;0
2025-03-13;2025-03-14;811.56;MT;RS;LogMais;Carreta;entregue;1
2025-03-01;2025-02-28;2968.8;GO;PE;TransRápido;3/4;adiantada;-1
2025-02-26;2025-03-01;3358.61;RJ;MT;LogMais;Truck;entregue;3
2025-02-28;2025-03-01;2852.42;MS;SC;LogMais;Carreta;entregue;1
2025-03-07;2025-03-07;2661.59;MT;MG;LogMais;Carreta;entregue;0
2025-02-24;2025-02-26;3301.97;MS;RJ;LogMais;3/4;entregue;2
2025-04-11;2025-04-12;2515.48;GO;SP;LogMais;Carreta;entregue;1
2025-04-19;2025-04-22;2124.96;MG;BA;CargaJá;3/4;entregue;3
2025-03-12;2025-03-11;1088.44;MS;RS;FreteCerto;VUC;adiantada;-1
2025-03-21;2025-03-24;2170.26;SC;PR;LogMais;Truck;entregue;3
2025-04-20;2025-04-21;1488.56;SP;BA;FreteCerto;VUC;entregue;1
2025-03-26;2025-03-28;1259.15;SP;PR;LogMais;Truck;entregue;2
2025-03-17;2025-03-17;2731.24;PE;MS;TransRápido;Truck;entregue;0
2025-03-02;2025-03-05;2260.63;MT;BA;TransRápido;VUC;entregue;3
2025-03-11;2025-03-11;2071.19;PR;ES;FreteCerto;Truck;entregue;0
2025-03-04;2025-03-07;1129.9;SP;BA;LogMais;3/4;entregue;3
2025-04-21;2025-04-21;1208.61;MS;MG;FreteCerto;Truck;entregue;0
2025-04-21;2025-04-23;1081.77;PE;SP;FreteCerto;Truck;entregue;2
2025-04-02;2025-04-02;2496.93;RS;ES;FreteCerto;Carreta;entregue;0
2025-03-28;2025-03-29;984.17;MT;MG;TransRápido;3/4;entregue;1
2025-03-04;2025-03-07;993.2;MS;BA;TransRápido;VUC;entregue;3
2025-04-08;2025-04-10;3878.58;GO;SC;CargaJá;Carreta;entregue;2
2025-02-28;2025-02-28;3487.34;RJ;ES;CargaJá;VUC;entregue;0
2025-04-08;2025-04-08;1713.48;SC;PE;CargaJá;VUC;entregue;0
2025-02-27;2025-02-27;1086.85;PE;BA;LogMais;Truck;entregue;0
2025-03-11;2025-03-11;1985.02;SC;RS;CargaJá;3/4;entregue;0
2025-04-03;2025-04-03;1201.35;ES;RS;LogMais;Carreta;entregue;0
2025-04-22;2025-04-22;3563.33;MT;PR;LogMais;Carreta;entregue;0
2025-03-31;2025-04-02;3749.27;MG;BA;FreteCerto;3/4;entregue;2
2025-04-19;2025-04-21;1196.29;RS;BA;LogMais;3/4;entregue;2
2025-04-10;2025-04-13;3940.53;MG;RS;TransRápido;Truck;entregue;3
2025-03-10;2025-03-09;3712.47;SP;GO;LogMais;3/4;adiantada;-1
2025-03-02;2025-03-04;3115.49;SP;BA;LogMais;VUC;entregue;2
2025-03-14;2025-03-16;3366.4;MT;SP;CargaJá;Carreta;entregue;2
2025-04-11;2025-04-11;3529.93;PR;GO;LogMais;3/4;entregue;0
2025-03-02;2025-03-02;2322.02;PR;GO;CargaJá;3/4;entregue;0
2025-03-18;2025-03-19;1226.25;RS;MG;LogMais;VUC;entregue;1
2025-04-23;2025-04-23;806.04;PR;GO;FreteCerto;VUC;entregue;0
2025-03-20;2025-03-20;1252.86;BA;PE;LogMais;Truck;entregue;0
2025-04-18;2025-04-20;1762.25;MG;SP;CargaJá;3/4;entregue;2
2025-02-27;2025-02-27;2189.33;PR;MG;TransRápido;Truck;entregue;0
2025-04-17;2025-04-17;2965.99;RJ;RS;CargaJá;3/4;entregue;0
2025-03-06;2025-03-06;2256.69;SC;PR;TransRápido;3/4;entregue;0
2025-03-09;2025-03-09;1632.08;MS;MT;TransRápido;Carreta;entregue;0
2025-03-01;2025-03-01;1142.4;MS;PR;TransRápido;Carreta;entregue;0
2025-03-17;2025-03-20;851.09;RJ;SP;CargaJá;3/4;entregue;3
2025-04-09;2025-04-09;2820.71;SP;SC;LogMais;Carreta;entregue;0
2025-02-25;2025-02-24;3012.48;MT;MG;TransRápido;3/4;adiantada;-1
2025-03-25;2025-03-25;1152.12;ES;MG;FreteCerto;VUC;entregue;0
2025-03-16;2025-03-17;2928.21;MS;PR;LogMais;Carreta;entregue;1
2025-03-26;2025-03-29;2382.47;MS;RJ;CargaJá;3/4;entregue;3
2025-02-26;2025-02-25;2667.59;SP;PR;LogMais;Carreta;adiantada;-1
2025-03-05;2025-03-06;3833.21;PE;PR;FreteCerto;VUC;entregue;1
2025-02-26;2025-02-26;3801.99;MS;PE;CargaJá;Carreta;entregue;0
2025-04-14;2025-04-14;989.67;RS;PR;FreteCerto;Carreta;entregue;0
2025-04-08;2025-04-08;1237.56;MT;MG;FreteCerto;VUC;entregue;0
2025-04-24;2025-04-23;3968.97;RS;MG;CargaJá;Truck;adiantada;-1
2025-03-04;2025-03-05;1365.59;RS;MG;LogMais;3/4;entregue;1
2025-04-15;2025-04-16;3732.43;RJ;PE;LogMais;3/4;entregue;1
2025-03-06;2025-03-07;2398.43;PR;PE;TransRápido;Carreta;entregue;1
2025-04-09;2025-04-08;1018.71;BA;MT;FreteCerto;Truck;adiantada;-1
2025-03-27;2025-03-27;3487.33;SP;GO;TransRápido;Truck;entregue;0
2025-04-17;2025-04-19;2225.76;MS;RJ;FreteCerto;3/4;entregue;2
2025-04-15;2025-04-18;3688.07;ES;GO;TransRápido;Truck;entregue;3
2025-04-01;2025-04-02;3482.46;RS;SP;TransRápido;VUC;entregue;1
2025-04-01;2025-04-01;1893.45;ES;RJ;TransRápido;VUC;entregue;0
2025-03-12;2025-03-14;1967.97;MG;SC;LogMais;Carreta;entregue;2
2025-03-27;2025-03-26;2024.11;RJ;PE;CargaJá;VUC;adiantada;-1
2025-03-29;2025-03-28;2791.25;MS;SP;FreteCerto;Truck;adiantada;-1
2025-04-24;2025-04-23;2827.44;RJ;GO;LogMais;VUC;adiantada;-1
2025-03-13;2025-03-12;2638.65;RJ;GO;TransRápido;Truck;adiantada;-1
2025-04-14;2025-04-14;2343.96;SC;MS;LogMais;Truck;entregue;0
2025-04-15;2025-04-17;2554.44;BA;RS;FreteCerto;VUC;entregue;2
2025-03-03;2025-03-04;3697.71;RS;SC;CargaJá;Truck;entregue;1
2025-04-24;2025-04-27;2782.39;ES;MS;FreteCerto;Carreta;entregue;3
2025-02-27;2025-03-01;3977.71;RS;PR;TransRápido;Truck;entregue;2
2025-03-15;2025-03-14;3990.32;GO;SC;TransRápido;3/4;adiantada;-1
2025-04-19;2025-04-21;1945.53;ES;MG;TransRápido;3/4;entregue;2
2025-03-21;2025-03-24;1596.99;MS;GO;LogMais;Truck;entregue;3
2025-03-26;2025-03-29;2023.29;ES;PE;LogMais;VUC;entregue;3
2025-04-04;2025-04-06;2902.94;RS;PR;LogMais;VUC;entregue;2
2025-04-05;2025-04-04;2100.09;ES;PR;LogMais;Carreta;adiantada;-1
2025-03-15;2025-03-15;2729.14;PR;RJ;TransRápido;Truck;entregue;0
2025-03-13;2025-03-13;1948.62;MT;ES;FreteCerto;3/4;entregue;0
2025-04-23;2025-04-26;1255.01;MG;PE;TransRápido;VUC;entregue;3
2025-03-13;2025-03-16;2325.44;ES;MT;TransRápido;Carreta;entregue;3
2025-04-16;2025-04-18;865.37;MT;GO;FreteCerto;Carreta;entregue;2
2025-04-18;2025-04-20;3474.4;SP;PR;CargaJá;VUC;entregue;2
2025-04-23;2025-04-26;1861.78;BA;SP;FreteCerto;3/4;entregue;3
2025-03-15;2025-03-18;2816.18;RJ;PE;LogMais;3/4;entregue;3
2025-04-10;2025-04-10;1247.36;MG;SP;TransRápido;Carreta;entregue;0
2025-03-04;2025-03-07;1479.77;GO;SP;FreteCerto;3/4;entregue;3
2025-02-25;2025-02-27;903.87;PE;MS;FreteCerto;Carreta;entregue;2
2025-03-18;2025-03-17;1540.4;ES;SC;LogMais;Carreta;adiantada;-1
2025-03-29;2025-03-31;1369.89;MG;SP;TransRápido;Carreta;entregue;2
2025-04-15;2025-04-15;1288.78;GO;BA;CargaJá;Carreta;entregue;0
2025-03-15;2025-03-17;2013.48;MG;GO;CargaJá;Truck;entregue;2
2025-04-06;2025-04-07;3044.0;SP;PR;TransRápido;Carreta;entregue;1
2025-03-07;2025-03-07;1699.06;MS;MG;LogMais;VUC;entregue;0
2025-04-14;2025-04-15;3746.45;BA;MT;FreteCerto;Truck;entregue;1
2025-04-21;2025-04-21;1841.73;PR;RJ;TransRápido;VUC;entregue;0
2025-03-06;2025-03-08;1013.23;BA;RS;CargaJá;3/4;entregue;2
2025-04-20;2025-04-19;2840.84;GO;SP;TransRápido;VUC;adiantada;-1
2025-02-26;2025-02-28;2545.93;SP;MG;FreteCerto;VUC;entregue;2
2025-03-06;2025-03-06;902.6;MG;PE;TransRápido;Truck;entregue;0
2025-04-08;2025-04-10;974.02;SP;RS;LogMais;3/4;entregue;2
2025-04-05;2025-04-07;2305.02;ES;GO;CargaJá;Carreta;entregue;2
2025-03-13;2025-03-16;3475.64;GO;MT;CargaJá;3/4;entregue;3
2025-02-24;2025-02-24;2439.92;RJ;GO;TransRápido;3/4;entregue;0
2025-04-18;2025-04-17;1224.39;SC;MT;FreteCerto;3/4;adiantada;-1
2025-03-04;2025-03-04;1593.1;MS;BA;FreteCerto;Carreta;entregue;0
2025-04-02;2025-04-03;3468.39;RS;MT;TransRápido;Truck;entregue;1
2025-03-21;2025-03-22;2446.67;BA;RJ;TransRápido;Truck;entregue;1
2025-04-12;2025-04-12;1098.42;GO;MG;FreteCerto;VUC;entregue;0
2025-03-25;2025-03-28;2920.72;MS;MT;LogMais;VUC;entregue;3
2025-04-08;2025-04-11;3415.75;BA;SP;FreteCerto;3/4;entregue;3
2025-04-17;2025-04-17;2707.73;PR;SC;TransRápido;Truck;entregue;0
2025-04-08;2025-04-07;1237.9;GO;BA;TransRápido;3/4;adiantada;-1
2025-03-28;2025-03-28;2023.75;RS;SP;CargaJá;Truck;entregue;0
2025-04-12;2025-04-11;1735.13;RS;SC;CargaJá;3/4;adiantada;-1
2025-04-16;2025-04-19;2927.38;PR;MG;FreteCerto;Truck;entregue;3
2025-04-18;2025-04-17;1080.25;RS;BA;CargaJá;Carreta;adiantada;-1
2025-03-11;2025-03-11;1640.37;RS;BA;TransRápido;Carreta;entregue;0
2025-03-11;2025-03-12;1066.9;PR;MG;LogMais;3/4;entregue;1
2025-04-01;2025-04-03;2526.07;SC;PR;TransRápido;VUC;entregue;2
2025-04-07;2025-04-09;1152.02;MS;GO;CargaJá;Truck;entregue;2
2025-03-31;2025-03-31;938.66;MT;SC;CargaJá;3/4;entregue;0
2025-03-03;2025-03-06;1349.24;SP;SC;CargaJá;Truck;entregue;3
2025-04-02;2025-04-01;3025.77;MS;SP;LogMais;Truck;adiantada;-1
2025-04-18;2025-04-17;1595.18;ES;PR;TransRápido;Carreta;adiantada;-1
2025-04-22;2025-04-21;3973.97;PR;ES;LogMais;3/4;adiantada;-1
2025-03-08;2025-03-07;2661.77;BA;RS;FreteCerto;Carreta;adiantada;-1
2025-03-14;2025-03-15;1216.49;MG;MS;CargaJá;Truck;entregue;1
2025-04-04;2025-04-05;1987.39;SP;MT;CargaJá;3/4;entregue;1
2025-03-30;2025-04-01;3728.62;MS;BA;FreteCerto;3/4;entregue;2
2025-03-21;2025-03-22;2241.15;PE;GO;LogMais;3/4;entregue;1
2025-04-16;2025-04-16;3756.18;ES;RS;TransRápido;Carreta;entregue;0
2025-04-18;2025-04-18;3160.04;PR;RS;LogMais;VUC;entregue;0
2025-04-19;2025-04-18;904.93;SC;MT;CargaJá;3/4;adiantada;-1
2025-04-13;2025-04-12;2597.7;RJ;ES;FreteCerto;Carreta;adiantada;-1
2025-03-06;2025-03-09;3858.44;RJ;BA;FreteCerto;3/4;entregue;3
2025-04-12;2025-04-15;2343.23;MT;RJ;TransRápido;Truck;entregue;3
2025-04-02;2025-04-02;3737.91;BA;SP;CargaJá;Carreta;entregue;0
2025-03-12;2025-03-12;3472.24;MT;SP;TransRápido;Carreta;entregue;0
2025-03-09;2025-03-10;1400.6;SC;RJ;CargaJá;3/4;entregue;1
2025-04-03;2025-04-06;3256.77;SP;GO;FreteCerto;Carreta;entregue;3
2025-03-05;2025-03-04;3414.66;PE;RJ;FreteCerto;VUC;adiantada;-1
2025-04-19;2025-04-19;1408.71;SP;PR;FreteCerto;Carreta;entregue;0
2025-03-22;2025-03-22;3417.81;MT;PR;FreteCerto;Carreta;entregue;0
2025-03-07;2025-03-06;1649.05;ES;RS;FreteCerto;VUC;adiantada;-1
2025-04-08;2025-04-09;1182.14;RS;PR;FreteCerto;Truck;entregue;1
2025-02-25;2025-02-27;3691.2;PR;SC;CargaJá;Carreta;entregue;2
2025-04-13;2025-04-15;1253.19;MS;BA;TransRápido;VUC;entregue;2
2025-03-08;2025-03-11;2462.18;BA;MS;LogMais;VUC;entregue;3
2025-03-28;2025-03-28;1378.49;MT;ES;LogMais;3/4;entregue;0
2025-03-22;2025-03-22;1395.98;MG;ES;CargaJá;VUC;entregue;0
2025-03-19;2025-03-19;3777.6;RS;SP;LogMais;3/4;entregue;0
2025-02-28;2025-02-27;2887.29;PR;ES;TransRápido;Truck;adiantada;-1
2025-03-02;2025-03-03;1178.07;ES;MG;CargaJá;Carreta;entregue;1
2025-04-02;2025-04-05;3604.41;GO;SC;TransRápido;VUC;entregue;3
2025-03-06;2025-03-09;1009.48;SC;GO;CargaJá;VUC;entregue;3
2025-03-16;2025-03-19;911.44;GO;RJ;CargaJá;3/4;entregue;3
2025-04-03;2025-04-03;3472.34;MS;BA;FreteCerto;VUC;entregue;0
2025-03-09;2025-03-09;3925.07;GO;MT;FreteCerto;Carreta;entregue;0
2025-03-04;2025-03-04;894.93;ES;MT;FreteCerto;3/4;entregue;0
2025-03-27;2025-03-27;2669.05;MS;RJ;TransRápido;3/4;entregue;0
2025-03-20;2025-03-23;2707.94;MG;RS;TransRápido;VUC;entregue;3
2025-03-12;2025-03-12;1305.2;RJ;RS;LogMais;VUC;entregue;0
2025-04-11;2025-04-11;2122.2;BA;PE;LogMais;VUC;entregue;0
2025-04-04;2025-04-05;3646.76;MT;PR;TransRápido;Carreta;entregue;1
2025-04-04;2025-04-04;1854.1;MT;RS;FreteCerto;3/4;entregue;0
2025-04-09;2025-04-08;2973.11;PR;BA;TransRápido;Carreta;adiantada;-1
2025-04-03;2025-04-03;2886.22;SP;GO;CargaJá;Truck;entregue;0
2025-04-04;2025-04-03;2733.0;SP;RS;CargaJá;VUC;adiantada;-1
2025-04-05;2025-04-05;1751.56;RS;MT;TransRápido;Carreta;entregue;0
2025-03-31;2025-03-31;3470.06;ES;SP;FreteCerto;Truck;entregue;0
2025-03-04;2025-03-04;1530.67;SP;SC;FreteCerto;Carreta;entregue;0
2025-03-14;2025-03-17;2908.75;GO;PR;FreteCerto;3/4;entregue;3
2025-03-11;2025-03-10;2500.81;MG;RJ;TransRápido;VUC;adiantada;-1
2025-03-19;2025-03-20;1255.61;ES;MG;LogMais;Carreta;entregue;1
2025-03-09;2025-03-10;3535.71;BA;SC;LogMais;VUC;entregue;1
2025-04-06;2025-04-06;3257.61;MS;RS;LogMais;3/4;entregue;0
2025-03-07;2025-03-07;2249.28;MS;GO;LogMais;VUC;entregue;0
2025-04-15;2025-04-17;1030.31;RS;PR;LogMais;VUC;entregue;2
2025-03-31;2025-03-31;3417.52;BA;PR;CargaJá;Truck;entregue;0
2025-03-03;2025-03-06;3623.01;SP;GO;TransRápido;3/4;entregue;3
2025-03-23;2025-03-23;1760.04;PE;SC;TransRápido;Truck;entregue;0
2025-03-22;2025-03-22;1672.2;PR;PE;FreteCerto;VUC;entregue;0
2025-03-31;2025-04-02;1418.17;SC;MS;TransRápido;Truck;entregue;2
2025-04-01;2025-03-31;2376.23;ES;PE;FreteCerto;Carreta;adiantada;-1
2025-04-10;2025-04-11;2750.97;BA;GO;FreteCerto;3/4;entregue;1
2025-02-27;2025-03-02;1378.1;RS;PE;LogMais;3/4;entregue;3
2025-02-24;2025-02-26;3605.71;MG;GO;CargaJá;VUC;entregue;2
2025-04-20;2025-04-20;1635.69;SP;SC;FreteCerto;Truck;entregue;0
2025-03-31;2025-03-31;2230.85;MG;GO;CargaJá;3/4;entregue;0
2025-04-15;2025-04-16;3264.02;MS;SP;FreteCerto;Truck;entregue;1
2025-03-24;2025-03-25;883.93;MG;MT;FreteCerto;VUC;entregue;1
2025-04-24;2025-04-24;1794.68;PR;MS;LogMais;3/4;entregue;0
2025-03-31;2025-03-31;2405.83;GO;BA;TransRápido;3/4;entregue;0
2025-03-19;2025-03-21;1876.66;RJ;MS;CargaJá;VUC;entregue;2
2025-03-10;2025-03-10;3450.73;RS;ES;CargaJá;Truck;entregue;0
2025-02-26;2025-02-26;3296.83;MS;MG;TransRápido;3/4;entregue;0
2025-03-05;2025-03-04;3162.41;PR;MS;FreteCerto;Truck;adiantada;-1
2025-04-10;2025-04-10;1059.34;RS;RJ;LogMais;VUC;entregue;0
2025-04-01;2025-04-01;3438.94;MS;GO;CargaJá;VUC;entregue;0
2025-03-29;2025-04-01;2488.09;MT;SC;CargaJá;Truck;entregue;3
2025-02-24;2025-02-25;3077.38;ES;BA;TransRápido;Truck;entregue;1
2025-04-24;2025-04-23;3718.73;ES;PR;CargaJá;3/4;adiantada;-1
2025-03-23;2025-03-24;2888.12;PE;RS;TransRápido;Truck;entregue;1
2025-03-17;2025-03-17;1735.72;ES;RS;LogMais;Carreta;entregue;0
2025-03-28;2025-03-31;3557.75;PR;RS;LogMais;VUC;entregue;3
2025-04-19;2025-04-19;932.88;MG;PE;FreteCerto;Truck;entregue;0
2025-03-23;2025-03-23;1619.14;PE;MG;CargaJá;Truck;entregue;0
2025-04-24;2025-04-24;805.38;GO;SP;TransRápido;Carreta;entregue;0
2025-03-22;2025-03-23;3744.24;RJ;GO;LogMais;Truck;entregue;1
2025-02-28;2025-03-02;2873.03;MG;MT;CargaJá;VUC;entregue;2
2025-03-28;2025-03-31;1545.76;RJ;MG;FreteCerto;Truck;entregue;3
2025-04-17;2025-04-19;2163.96;ES;PE;FreteCerto;Truck;entregue;2
2025-02-25;2025-02-25;3537.75;BA;PR;LogMais;Truck;entregue;0
2025-02-26;2025-02-26;2174.79;SP;MT;LogMais;Truck;entregue;0
2025-03-18;2025-03-21;2536.33;PR;MT;FreteCerto;Truck;entregue;3
2025-04-02;2025-04-05;2365.22;SC;SP;LogMais;Truck;entregue;3
2025-02-27;2025-02-26;1424.21;GO;RJ;TransRápido;3/4;adiantada;-1
2025-03-18;2025-03-19;3467.43;RJ;MG;TransRápido;Truck;entregue;1
2025-03-14;2025-03-15;2082.14;PR;ES;FreteCerto;Carreta;entregue;1
2025-03-05;2025-03-07;3567.28;MT;MG;FreteCerto;3/4;entregue;2
2025-04-10;2025-04-10;2652.85;MT;RJ;FreteCerto;Carreta;entregue;0
2025-03-15;2025-03-14;1455.93;PE;BA;LogMais;VUC;adiantada;-1
2025-04-11;2025-04-10;3110.29;RS;RJ;LogMais;Carreta;adiantada;-1
2025-04-05;2025-04-07;1984.62;MG;MT;LogMais;3/4;entregue;2
2025-04-17;2025-04-19;1080.41;SC;BA;CargaJá;Truck;entregue;2
2025-04-20;2025-04-20;3000.97;ES;MT;LogMais;3/4;entregue;0
2025-04-04;2025-04-04;1680.02;BA;ES;TransRápido;VUC;entregue;0
2025-04-11;2025-04-11;1886.4;SC;ES;LogMais;Truck;entregue;0
2025-03-08;2025-03-10;3884.29;MT;MS;CargaJá;3/4;entregue;2
2025-04-12;2025-04-12;2052.47;SP;BA;LogMais;3/4;entregue;0
2025-04-24;2025-04-23;822.65;MG;PR;CargaJá;Truck;adiantada;-1
2025-03-01;2025-03-04;2829.57;RS;SP;TransRápido;3/4;entregue;3
2025-03-18;2025-03-19;2501.75;RJ;ES;CargaJá;3/4;entregue;1
2025-04-04;2025-04-04;2575.1;BA;RS;TransRápido;VUC;entregue;0
2025-04-13;2025-04-14;2690.51;MG;BA;TransRápido;Truck;entregue;1
2025-03-21;2025-03-24;1881.08;MG;RS;FreteCerto;VUC;entregue;3
2025-03-09;2025-03-09;2838.05;GO;PR;LogMais;Truck;entregue;0
2025-04-19;2025-04-19;2727.5;RJ;MG;LogMais;VUC;entregue;0
2025-04-22;2025-04-22;2399.72;MS;RS;TransRápido;Truck;entregue;0
2025-02-24;2025-02-24;3844.72;BA;GO;LogMais;Truck;entregue;0
2025-03-15;2025-03-15;1613.57;GO;SP;TransRápido;Truck;entregue;0
2025-02-25;2025-02-25;2260.99;PE;MS;TransRápido;Carreta;entregue;0
2025-04-06;2025-04-08;2911.51;MT;PE;LogMais;Truck;entregue;2
2025-03-16;2025-03-18;3859.91;RS;MT;CargaJá;Carreta;entregue;2
2025-03-27;2025-03-26;960.89;GO;MT;LogMais;VUC;adiantada;-1
2025-04-03;2025-04-06;2497.15;RJ;GO;FreteCerto;Carreta;entregue;3
2025-04-18;2025-04-20;2155.48;GO;MS;FreteCerto;Carreta;entregue;2
2025-04-23;2025-04-26;2235.34;RJ;BA;FreteCerto;Carreta;entregue;3
2025-03-29;2025-04-01;3377.94;SP;BA;FreteCerto;Carreta;entregue;3
2025-03-13;2025-03-16;3920.5;SP;MS;TransRápido;VUC;entregue;3
2025-03-04;2025-03-03;2614.38;SC;BA;LogMais;3/4;adiantada;-1
2025-03-30;2025-03-30;2461.67;MT;RJ;CargaJá;VUC;entregue;0
2025-02-26;2025-02-26;3499.64;SC;RS;CargaJá;Truck;entregue;0
2025-02-27;2025-03-01;1972.14;MT;PE;CargaJá;Carreta;entregue;2
2025-04-16;2025-04-15;2207.52;SC;ES;FreteCerto;Carreta;adiantada;-1
2025-02-27;2025-02-27;1689.5;PE;RJ;TransRápido;Truck;entregue;0
2025-04-08;2025-04-09;2672.19;BA;SC;TransRápido;Carreta;entregue;1
2025-04-22;2025-04-22;2985.83;SP;RJ;TransRápido;VUC;entregue;0
2025-03-26;2025-03-29;3702.96;GO;PR;CargaJá;Carreta;entregue;3
2025-03-04;2025-03-04;3646.36;MT;BA;TransRápido;Truck;entregue;0
2025-03-14;2025-03-14;2829.56;GO;SC;LogMais;VUC;entregue;0
2025-04-02;2025-04-04;1681.98;SC;PR;LogMais;3/4;entregue;2
2025-03-22;2025-03-22;1151.61;GO;SP;TransRápido;Truck;entregue;0
2025-04-13;2025-04-13;3203.85;GO;MT;TransRápido;Truck;entregue;0
2025-02-24;2025-02-23;3873.42;PR;SC;FreteCerto;VUC;adiantada;-1
2025-02-28;2025-03-03;1940.09;RS;PE;TransRápido;3/4;entregue;3
2025-02-25;2025-02-24;2103.4;MT;MS;TransRápido;Carreta;adiantada;-1
2025-02-25;2025-02-26;3945.61;MG;MT;CargaJá;Carreta;entregue;1
2025-03-30;2025-03-30;1823.81;PE;GO;LogMais;Truck;entregue;0
2025-04-10;2025-04-11;1359.45;SC;ES;TransRápido;VUC;entregue;1
2025-03-29;2025-03-30;1034.67;SC;MG;CargaJá;Truck;entregue;1
